Movie,LeadStudio,RottenTomatoes,AudienceScore,Genre,TheatersOpenWeek,OpeningWeekend,BOAvgOpenWeekend,Budget,DomesticGross,WorldGross,ForeignGross,Year
10 Cloverfield Lane,Paramount Pictures,90,79,Thriller,3391,24.73,7293,15,72.08,108.29,36.21,2016
13 Hours: The Secret Soldiers of Benghazi,Paramount Pictures,51,82,Drama,2389,16.19,6777,50,52.85,69.41,16.56,2016
A Hologram for the King,Roadside Attractions,72,55,Drama,401,1.14,2843,35,4.21,11.85,7.64,2016
A Monster Calls,Focus Features,86,81,Drama,4,0.03,7500,43,3.74,46.41,42.67,2016
Alice Through the Looking Glass,Walt Disney Studios Motion Pictures,30,48,Adventure,3763,26.86,7138,170,77.04,276.93,199.89,2016
Allegiant,Lionsgate,11,41,Action,3740,29.03,7762,110,66.18,172.02,105.84,2016
Allied,Paramount Pictures,60,63,Drama,3160,12.7,4019,106,40.1,119.27,79.17,2016
Almost Christmas,Universal Pictures,49,64,Drama,2376,15.13,6368,17,42.16,42.49,0.33,2016
Arrival,Paramount Pictures,94,82,Drama,2317,24.07,10388,47,100.55,203.13,102.58,2016
Assassin's Creed,Twentieth Century Fox,18,43,Action,2970,10.28,3461,125,54.65,240.76,186.11,2016
Bad Moms,STX Entertainment,58,63,Comedy,3215,23.82,7409,20,113.26,181,67.74,2016
Bad Santa 2,Broad Green Pictures,22,33,Comedy,2920,6.18,2116,26,17.78,24.08,6.3,2016
Barbershop: The Next Cut,Warner Bros.,90,66,Comedy,2661,20.24,7606,20,54.03,54.4,0.37,2016
Batman v Superman: Dawn of Justice,Warner Bros.,28,63,Action,4242,166.01,39135,263,330.36,873.63,543.27,2016
Ben-Hur,Paramount Pictures,25,53,Drama,3084,11.2,3632,95,26.41,91.67,65.26,2016
Blair Witch,Lionsgate,37,31,Horror,3121,9.58,3070,10,20.78,38.99,18.21,2016
Bleed for This,Open Road Films (II),69,69,Drama,1549,2.37,1530,16,5.08,7.17,2.09,2016
Bridget Jones's Baby,Universal Pictures,78,65,Romantic Comedy,2927,8.57,2928,35,24.14,205.82,181.68,2016
Cafe Society,Lionsgate,71,56,Drama,5,0.36,72000,30,11.1,44.36,33.26,2016
Captain America: Civil War,Walt Disney Studios Motion Pictures,91,89,Action,4226,179.14,42390,250,408.08,1153.28,745.2,2016
Captain Fantastic,Bleecker Street Media,82,85,Drama,4,0.09,22500,5,5.88,21.34,15.46,2016
Central Intelligence,Warner Bros.,71,61,Comedy,3508,35.54,10131,50,127.44,217.19,89.75,2016
Collateral Beauty,Warner Bros.,14,64,Drama,3028,7.1,2345,36,31.02,85.31,54.29,2016
Compadres,Pantelion Films,38,51,Comedy,368,1.4,3804,3,3.13,7.45,4.32,2016
Criminal,Lionsgate,31,47,Action,2683,5.77,2151,31.5,14.71,38.77,24.06,2016
Dangal,UTV Motion Pictures,88,94,Action,331,3.25,9819,9.5,12.39,305.15,292.76,2016
Deadpool,Twentieth Century Fox,85,90,Action,3558,132.43,37220,58,363.07,801.03,437.96,2016
Deepwater Horizon,Lionsgate,83,82,Drama,3259,20.22,6204,156,61.43,122.6,61.17,2016
Denial,Bleecker Street Media,82,71,Drama,5,0.09,18000,10,4.07,9.26,5.19,2016
Dirty Grandpa,Lionsgate,11,44,Comedy,2912,11.11,3815,11.5,35.59,105.08,69.49,2016
Doctor Strange,Walt Disney Studios Motion Pictures,89,86,Action,3882,85.06,21911,165,232.64,676.4,443.76,2016
Don't Breathe,Screen Gems,88,78,Horror,3051,26.41,8656,10,89.22,158.97,69.75,2016
Don't Think Twice,The Film Arcade,98,69,Comedy,1,0.09,90000,3,4.42,4.42,0,2016
Eddie the Eagle,Twentieth Century Fox,82,82,Drama,2042,6.08,2977,23,15.79,45.06,29.27,2016
Elle,Sony Pictures Classics,91,73,Drama,2,0.05,25000,9.1,2.34,16.52,14.18,2016
Everybody Wants Some!!,Paramount Pictures,87,68,Comedy,19,0.31,16316,10,3.4,5.44,2.04,2016
Eye in the Sky,Bleecker Street Media,95,82,Thriller,5,0.11,22000,13,18.7,35.4,16.7,2016
