Movie,LeadStudio,RottenTomatoes,AudienceScore,Genre,TheatersOpenWeek,OpeningWeekend,BOAvgOpenWeekend,Budget,DomesticGross,WorldGross,ForeignGross,Year
Doctor Strange,Walt Disney Studios Motion Pictures,89,,Action,3882,85.06,21911,165,232.64,676.4,443.76,2016
First Man,Universal Pictures,87,,Drama,3640,16.01,4398,60,44.94,105.7,60.76,2018
The Mummy,Universal Pictures,16,,Adventure,4035,31.69,7854,195,80.23,409.95,329.72,2017
Friend Request,Entertainment Studios Motion Pictures,16,,Thriller,2573,2,777,9.9,3.76,11.31,7.55,2017
Hillsong: Let Hope Rise,Pure Flix Entertainment,60,,Documentary,816,1.36,1667,10,2.39,2.68,0.29,2016
White Boy Rick,Studio 8,59,,Drama,2504,8.86,3538,30,24.01,25.95,1.94,2018
"Paul, Apostle of Christ",Affirm Films,46,,Drama,1473,5.17,3510,5,17.56,25.53,7.97,2018
Phoenix Forgotten,Cinelou Films,41,,Thriller,1626,1.82,1119,3,3.6,3.7,0.1,2017
King Arthur: Legend of the Sword,Warner Bros.,31,,Adventure,3702,15.37,4152,175,39.18,139.63,100.45,2017
Mike and Dave Need Wedding Dates,Twentieth Century Fox,37,,Comedy,2982,16.63,5577,33,46.01,75.9,29.89,2016
